employee_id,date,status,absence_reason,check_in_time,check_out_time,overtime_hours,worked_hours,early_leave_minutes
EMP-0001,2024-06-16,Absent,Vacation / Annual Leave,,,0.0,0.0,0
EMP-0001,2024-06-17,Present,,09:05,17:48,0.72,8.72,0
EMP-0001,2024-06-18,Present,,09:08,17:18,0.17,8.17,0
EMP-0001,2024-06-19,Late,Late Arrival,10:24,17:12,0.0,6.8,0
EMP-0001,2024-06-20,Present,,09:03,17:12,0.15,8.15,0
EMP-0001,2024-06-23,Present,,09:00,17:30,0.5,8.5,0
EMP-0001,2024-06-24,Late,Late Arrival,10:12,17:00,0.0,6.8,0
EMP-0001,2024-06-25,Present,,09:04,17:24,0.33,8.33,0
EMP-0001,2024-06-26,Present,,09:01,17:30,0.48,8.48,0
EMP-0001,2024-06-27,Present,,09:05,17:12,0.12,8.12,0
EMP-0001,2024-06-30,Present,,09:03,17:06,0.05,8.05,0
EMP-0001,2024-07-01,Absent,Other,,,0.0,0.0,0
EMP-0001,2024-07-02,Present,,09:02,17:18,0.27,8.27,0
EMP-0001,2024-07-03,Present,,09:07,17:12,0.08,8.08,0
EMP-0001,2024-07-04,Present,,09:07,17:24,0.28,8.28,0
EMP-0001,2024-07-07,Present,,09:04,17:00,0.0,7.93,0
EMP-0001,2024-07-08,Present,,09:08,17:06,0.0,7.97,0
EMP-0001,2024-07-09,Present,,09:08,17:18,0.17,8.17,0
EMP-0001,2024-07-10,Present,,09:06,18:06,1.0,9.0,0
EMP-0001,2024-07-11,Present,,09:01,17:36,0.58,8.58,0
EMP-0001,2024-07-14,Present,,09:02,17:00,0.0,7.97,0
EMP-0001,2024-07-15,Present,,09:00,17:24,0.4,8.4,0
EMP-0001,2024-07-16,Present,,09:01,17:18,0.28,8.28,0
EMP-0001,2024-07-17,Present,,09:03,17:06,0.05,8.05,0
EMP-0001,2024-07-18,Present,,09:03,17:54,0.85,8.85,0
EMP-0001,2024-07-21,Present,,09:08,17:24,0.27,8.27,0
EMP-0001,2024-07-22,Half-Day,Half Day,09:05,13:15,0.0,4.17,225
EMP-0001,2024-07-23,Present,,09:06,17:06,0.0,8.0,0
EMP-0001,2024-07-24,Present,,09:05,17:12,0.12,8.12,0
EMP-0001,2024-07-25,Present,,09:04,17:12,0.13,8.13,0
EMP-0001,2024-07-28,Present,,09:01,17:18,0.28,8.28,0
EMP-0001,2024-07-29,Present,,09:05,17:36,0.52,8.52,0
EMP-0001,2024-07-30,Present,,09:01,18:00,0.98,8.98,0
EMP-0001,2024-07-31,Present,,09:07,17:12,0.08,8.08,0
EMP-0001,2024-08-01,Present,,09:03,17:30,0.45,8.45,0
EMP-0001,2024-08-04,Present,,09:07,18:12,1.08,9.08,0
EMP-0001,2024-08-05,Present,,09:04,17:24,0.33,8.33,0
EMP-0001,2024-08-06,Present,,09:03,17:00,0.0,7.95,0
EMP-0001,2024-08-07,Present,,09:04,17:24,0.33,8.33,0
EMP-0001,2024-08-08,Present,,09:00,17:42,0.7,8.7,0
EMP-0001,2024-08-11,Present,,09:04,17:06,0.03,8.03,0
EMP-0001,2024-08-12,Present,,09:02,17:12,0.17,8.17,0
EMP-0001,2024-08-13,Present,,09:02,17:12,0.17,8.17,0
EMP-0001,2024-08-14,Present,,09:08,17:18,0.17,8.17,0
EMP-0001,2024-08-15,Present,,09:03,17:12,0.15,8.15,0
EMP-0001,2024-08-18,Present,,09:07,17:06,0.0,7.98,0
EMP-0001,2024-08-19,Present,,09:08,17:24,0.27,8.27,0
EMP-0001,2024-08-20,Present,,09:04,17:06,0.03,8.03,0
EMP-0001,2024-08-21,Present,,09:01,17:30,0.48,8.48,0
EMP-0001,2024-08-22,Present,,09:08,17:12,0.07,8.07,0
EMP-0001,2024-08-25,Present,,09:01,18:06,1.08,9.08,0
EMP-0001,2024-08-26,Present,,09:04,17:06,0.03,8.03,0
EMP-0001,2024-08-27,Present,,09:04,17:24,0.33,8.33,0
EMP-0001,2024-08-28,Late,Late Arrival,10:24,18:24,0.0,8.0,0
EMP-0001,2024-08-29,Present,,09:06,17:12,0.1,8.1,0
EMP-0001,2024-09-01,Half-Day,Half Day,09:18,13:14,0.0,3.93,226
EMP-0001,2024-09-02,Present,,09:08,17:18,0.17,8.17,0
EMP-0001,2024-09-03,Present,,09:01,17:06,0.08,8.08,0
EMP-0001,2024-09-04,Absent,Vacation / Annual Leave,,,0.0,0.0,0
EMP-0001,2024-09-05,Present,,09:07,19:30,2.38,10.38,0
EMP-0001,2024-09-08,Present,,09:04,17:00,0.0,7.93,0
EMP-0001,2024-09-09,Late,Late Arrival,09:37,17:18,0.0,7.68,0
EMP-0001,2024-09-10,Present,,09:01,17:30,0.48,8.48,0
EMP-0001,2024-09-11,Present,,09:08,17:00,0.0,7.87,0
EMP-0001,2024-09-12,Present,,09:02,17:18,0.27,8.27,0
EMP-0001,2024-09-15,Present,,09:05,17:06,0.02,8.02,0
EMP-0001,2024-09-16,Absent,Personal Leave,,,0.0,0.0,0
EMP-0001,2024-09-17,Present,,09:00,17:06,0.1,8.1,0
EMP-0001,2024-09-18,Late,Late Arrival,10:22,17:42,0.0,7.33,0
EMP-0001,2024-09-19,Present,,09:02,18:30,1.47,9.47,0
EMP-0001,2024-09-22,Absent,Other,,,0.0,0.0,0
EMP-0001,2024-09-23,Present,,09:05,17:18,0.22,8.22,0
EMP-0001,2024-09-24,Present,,09:06,17:48,0.7,8.7,0
EMP-0001,2024-09-25,Present,,09:00,17:00,0.0,8.0,0
EMP-0001,2024-09-26,Present,,09:01,17:06,0.08,8.08,0
EMP-0001,2024-09-29,Present,,09:01,17:00,0.0,7.98,0
EMP-0001,2024-09-30,Present,,09:03,17:12,0.15,8.15,0
EMP-0001,2024-10-01,Present,,09:06,17:30,0.4,8.4,0
EMP-0001,2024-10-02,Half-Day,Other,09:03,13:03,0.0,4.0,237
EMP-0001,2024-10-03,Present,,09:01,17:18,0.28,8.28,0
EMP-0001,2024-10-06,Present,,09:08,17:00,0.0,7.87,0
EMP-0001,2024-10-07,Present,,09:03,17:00,0.0,7.95,0
EMP-0001,2024-10-08,Present,,09:06,18:06,1.0,9.0,0
EMP-0001,2024-10-09,Present,,09:02,17:24,0.37,8.37,0
EMP-0001,2024-10-10,Present,,09:05,17:18,0.22,8.22,0
