payroll_id,employee_id,month,base_salary,bonus_amount,overtime_hours,overtime_pay,late_penalty,unpaid_leave_deduction,total_deductions,total_salary
PAY-000001,EMP-0001,2024-06,16800,0.0,6.68,956.45,74.24,933.33,1007.57,16748.88
PAY-000002,EMP-0001,2024-07,16800,0.0,6.68,956.45,74.24,933.33,1007.57,16748.88
PAY-000003,EMP-0001,2024-08,16800,0.0,6.68,956.45,74.24,933.33,1007.57,16748.88
PAY-000004,EMP-0001,2024-09,16800,0.0,6.68,956.45,74.24,933.33,1007.57,16748.88
PAY-000005,EMP-0001,2024-10,16800,0.0,6.68,956.45,74.24,933.33,1007.57,16748.88
PAY-000006,EMP-0001,2024-11,16800,0.0,6.68,956.45,74.24,933.33,1007.57,16748.88
PAY-000007,EMP-0001,2024-12,16800,0.0,6.68,956.45,74.24,933.33,1007.57,16748.88
PAY-000008,EMP-0001,2025-01,16800,0.0,6.68,956.45,74.24,933.33,1007.57,16748.88
PAY-000009,EMP-0001,2025-02,16800,0.0,6.68,956.45,74.24,933.33,1007.57,16748.88
PAY-000010,EMP-0001,2025-03,16800,0.0,6.68,956.45,74.24,933.33,1007.57,16748.88
PAY-000011,EMP-0001,2025-04,16800,0.0,6.68,956.45,74.24,933.33,1007.57,16748.88
PAY-000012,EMP-0001,2025-05,16800,0.0,6.68,956.45,74.24,933.33,1007.57,16748.88
PAY-000013,EMP-0001,2025-06,16800,0.0,6.68,956.45,74.24,933.33,1007.57,16748.88
PAY-000014,EMP-0001,2025-07,16800,0.0,6.68,956.45,74.24,933.33,1007.57,16748.88
PAY-000015,EMP-0001,2025-08,16800,0.0,6.68,956.45,74.24,933.33,1007.57,16748.88
PAY-000016,EMP-0001,2025-09,16800,0.0,6.68,956.45,74.24,933.33,1007.57,16748.88
PAY-000017,EMP-0001,2025-10,16800,0.0,6.68,956.45,74.24,933.33,1007.57,16748.88
PAY-000018,EMP-0001,2025-11,16800,0.0,6.68,956.45,74.24,933.33,1007.57,16748.88
PAY-000019,EMP-0001,2025-12,16800,0.0,6.68,956.45,74.24,933.33,1007.57,16748.88
PAY-000020,EMP-0001,2026-01,16800,0.0,6.68,956.45,74.24,933.33,1007.57,16748.88
PAY-000021,EMP-0002,2024-12,10400,0.0,6.22,551.32,51.7,787.88,839.58,10111.74
PAY-000022,EMP-0002,2025-01,10400,0.0,6.22,551.32,51.7,787.88,839.58,10111.74
PAY-000023,EMP-0002,2025-02,10400,0.0,6.22,551.32,51.7,787.88,839.58,10111.74
PAY-000024,EMP-0002,2025-03,10400,0.0,6.22,551.32,51.7,787.88,839.58,10111.74
PAY-000025,EMP-0002,2025-04,10400,0.0,6.22,551.32,51.7,787.88,839.58,10111.74
PAY-000026,EMP-0002,2025-05,10400,0.0,6.22,551.32,51.7,787.88,839.58,10111.74
PAY-000027,EMP-0002,2025-06,10400,0.0,6.22,551.32,51.7,787.88,839.58,10111.74
PAY-000028,EMP-0002,2025-07,10400,0.0,6.22,551.32,51.7,787.88,839.58,10111.74
PAY-000029,EMP-0002,2025-08,10400,0.0,6.22,551.32,51.7,787.88,839.58,10111.74
PAY-000030,EMP-0002,2025-09,10400,0.0,6.22,551.32,51.7,787.88,839.58,10111.74
PAY-000031,EMP-0002,2025-10,10400,0.0,6.22,551.32,51.7,787.88,839.58,10111.74
PAY-000032,EMP-0002,2025-11,10400,0.0,6.22,551.32,51.7,787.88,839.58,10111.74
PAY-000033,EMP-0002,2025-12,10400,0.0,6.22,551.32,51.7,787.88,839.58,10111.74
PAY-000034,EMP-0002,2026-01,10400,0.0,6.22,551.32,51.7,787.88,839.58,10111.74
PAY-000035,EMP-0003,2024-11,12400,0.0,6.03,637.26,164.39,845.45,1009.84,12027.42
PAY-000036,EMP-0003,2024-12,12400,0.0,6.03,637.26,164.39,845.45,1009.84,12027.42
PAY-000037,EMP-0003,2025-01,12400,0.0,6.03,637.26,164.39,845.45,1009.84,12027.42
PAY-000038,EMP-0003,2025-02,12400,0.0,6.03,637.26,164.39,845.45,1009.84,12027.42
PAY-000039,EMP-0003,2025-03,12400,0.0,6.03,637.26,164.39,845.45,1009.84,12027.42
PAY-000040,EMP-0003,2025-04,12400,0.0,6.03,637.26,164.39,845.45,1009.84,12027.42
PAY-000041,EMP-0003,2025-05,12400,0.0,6.03,637.26,164.39,845.45,1009.84,12027.42
PAY-000042,EMP-0003,2025-06,12400,0.0,6.03,637.26,164.39,845.45,1009.84,12027.42
PAY-000043,EMP-0004,2024-08,29000,0.0,6.1,1507.67,247.16,1318.18,1565.34,28942.33
PAY-000044,EMP-0004,2024-09,29000,0.0,6.1,1507.67,247.16,1318.18,1565.34,28942.33
PAY-000045,EMP-0004,2024-10,29000,0.0,6.1,1507.67,247.16,1318.18,1565.34,28942.33
PAY-000046,EMP-0004,2024-11,29000,0.0,6.1,1507.67,247.16,1318.18,1565.34,28942.33
PAY-000047,EMP-0005,2025-02,8000,0.0,6.56,447.27,72.73,290.91,363.64,8083.63
PAY-000048,EMP-0005,2025-03,8000,0.0,6.56,447.27,72.73,290.91,363.64,8083.63
PAY-000049,EMP-0005,2025-04,8000,0.0,6.56,447.27,72.73,290.91,363.64,8083.63
PAY-000050,EMP-0005,2025-05,8000,0.0,6.56,447.27,72.73,290.91,363.64,8083.63
PAY-000051,EMP-0005,2025-06,8000,0.0,6.56,447.27,72.73,290.91,363.64,8083.63
PAY-000052,EMP-0005,2025-07,8000,0.0,6.56,447.27,72.73,290.91,363.64,8083.63
