employee_id,current_role_id,target_role_id,weighted_skill_gap,skill_match_pct,chain_readiness,role_similarity,tenure_years,total_working_years,latest_eval_score,courses_completed,role_fit_score,suitability_label
EMP-0001,3,1,1.0,33.3,100.0,1.0,1.55,12,49.1,0,72.5,0
EMP-0001,3,2,2.65,0.0,33.3,1.0,1.55,12,49.1,0,72.5,0
EMP-0001,3,4,1.2,10.0,85.7,1.0,1.55,12,49.1,0,72.5,0
EMP-0001,3,5,3.22,0.0,50.0,1.0,1.55,12,49.1,0,72.5,0
EMP-0001,3,6,2.35,0.0,25.0,1.0,1.55,12,49.1,0,72.5,0
EMP-0001,3,7,1.0,33.3,100.0,1.0,1.55,12,49.1,0,72.5,0
EMP-0001,3,8,2.05,0.0,20.0,0.5,1.55,12,49.1,0,72.5,0
EMP-0001,3,9,2.92,0.0,10.0,0.5,1.55,12,49.1,0,72.5,0
EMP-0001,3,10,2.7,0.0,0.0,0.5,1.55,12,49.1,0,72.5,0
EMP-0001,3,11,2.2,0.0,0.0,0.5,1.55,12,49.1,0,72.5,0
EMP-0001,3,12,3.5,0.0,0.0,0.5,1.55,12,49.1,0,72.5,0
EMP-0001,3,13,2.35,0.0,0.0,0.5,1.55,12,49.1,0,72.5,0
EMP-0001,3,14,3.55,0.0,0.0,0.5,1.55,12,49.1,0,72.5,0
EMP-0001,3,15,2.55,0.0,50.0,0.5,1.55,12,49.1,0,72.5,0
EMP-0001,3,16,2.33,0.0,0.0,0.5,1.55,12,49.1,0,72.5,0
EMP-0001,3,17,2.4,0.0,0.0,0.5,1.55,12,49.1,0,72.5,0
EMP-0001,3,18,3.6,0.0,0.0,0.5,1.55,12,49.1,0,72.5,0
EMP-0001,3,19,2.99,0.0,0.0,0.5,1.55,12,49.1,0,72.5,0
EMP-0001,3,20,2.25,0.0,0.0,0.5,1.55,12,49.1,0,72.5,0
EMP-0001,3,21,3.65,0.0,0.0,0.5,1.55,12,49.1,0,72.5,0
EMP-0001,3,22,2.3,0.0,0.0,0.5,1.55,12,49.1,0,72.5,0
EMP-0002,22,1,1.65,16.7,0.0,0.5,1.04,3,41.4,0,46.7,0
EMP-0002,22,2,3.2,0.0,11.1,0.5,1.04,3,41.4,0,46.7,0
EMP-0002,22,3,1.55,0.0,0.0,0.5,1.04,3,41.4,0,46.7,0
EMP-0002,22,4,1.95,0.0,0.0,0.5,1.04,3,41.4,0,46.7,0
EMP-0002,22,5,3.64,0.0,10.0,0.5,1.04,3,41.4,0,46.7,0
EMP-0002,22,6,2.55,0.0,0.0,0.5,1.04,3,41.4,0,46.7,0
EMP-0002,22,7,1.45,16.7,0.0,0.5,1.04,3,41.4,0,46.7,0
EMP-0002,22,8,2.15,0.0,0.0,0.5,1.04,3,41.4,0,46.7,0
EMP-0002,22,9,3.02,0.0,10.0,0.5,1.04,3,41.4,0,46.7,0
EMP-0002,22,10,2.5,0.0,16.7,0.5,1.04,3,41.4,0,46.7,0
EMP-0002,22,11,1.45,0.0,100.0,0.5,1.04,3,41.4,0,46.7,0
EMP-0002,22,12,3.0,0.0,28.6,0.5,1.04,3,41.4,0,46.7,0
EMP-0002,22,13,2.25,0.0,0.0,0.5,1.04,3,41.4,0,46.7,0
EMP-0002,22,14,3.4,0.0,16.7,0.5,1.04,3,41.4,0,46.7,0
EMP-0002,22,15,2.5,0.0,0.0,0.5,1.04,3,41.4,0,46.7,0
EMP-0002,22,16,2.33,0.0,20.0,0.5,1.04,3,41.4,0,46.7,0
EMP-0002,22,17,2.3,0.0,0.0,0.5,1.04,3,41.4,0,46.7,0
EMP-0002,22,18,3.55,0.0,14.3,0.5,1.04,3,41.4,0,46.7,0
EMP-0002,22,19,2.84,0.0,11.1,0.5,1.04,3,41.4,0,46.7,0
EMP-0002,22,20,1.25,25.0,100.0,0.5,1.04,3,41.4,0,46.7,0
EMP-0002,22,21,2.9,0.0,50.0,0.5,1.04,3,41.4,0,46.7,0
EMP-0005,22,1,0.95,50.0,100.0,0.5,0.9,14,39.5,1,46.7,0
